IDProduto;IDVenda;Quantidade;ValorUnitario;ValorTotal;Desconto
8;310;1;188.00;188.00;30.08
3;311;1;3616.75;3616.75;868.02
4;311;1;6509.30;6509.30;781.12
5;312;1;2521.10;2521.10;504.22
10;312;1;135.00;135.00;16.20
5;313;1;2521.10;2521.10;579.85
9;313;1;97.75;97.75;21.51
3;314;1;3255.08;3255.08;651.02
9;315;1;115.00;115.00;21.85
7;316;1;118.58;118.58;20.16
10;316;1;135.00;135.00;28.35
6;317;2;2511.75;5023.50;1255.88
6;318;1;2260.58;2260.58;316.48
7;318;1;155.00;155.00;34.10
9;318;1;87.98;87.98;12.32
2;319;1;5631.01;5631.01;957.27
8;319;1;159.80;159.80;30.36
1;320;1;8852.00;8852.00;1858.92
2;320;2;7820.85;15641.70;2346.26
4;320;1;4686.70;4686.70;937.34
6;321;1;2511.75;2511.75;602.82
7;321;1;155.00;155.00;23.25
10;321;1;103.28;103.28;15.49
2;322;1;7820.85;7820.85;1720.59
8;322;1;169.20;169.20;20.30
9;322;1;70.38;70.38;14.78
4;323;1;6126.40;6126.40;918.96
7;323;1;155.00;155.00;31.00
9;323;1;87.98;87.98;11.44
5;324;1;2966.00;2966.00;711.84
10;324;1;114.75;114.75;28.69
6;325;1;2260.58;2260.58;565.15
9;325;1;115.00;115.00;19.55
3;326;2;3829.50;7659.00;1991.34
5;327;1;2669.40;2669.40;640.66
9;327;1;87.98;87.98;17.60
2;328;1;7820.85;7820.85;1720.59
3;328;1;4255.00;4255.00;1233.95
4;328;1;7658.00;7658.00;1991.08
9;328;1;97.75;97.75;24.44
10;328;1;135.00;135.00;36.45
2;329;1;8280.90;8280.90;2318.65
7;329;1;155.00;155.00;27.90
4;330;1;7658.00;7658.00;1455.02
8;330;1;150.40;150.40;30.08
9;330;1;87.98;87.98;21.12
10;330;1;121.50;121.50;30.38
2;331;1;7820.85;7820.85;1955.21
3;331;1;4255.00;4255.00;1063.75
3;332;2;3616.75;7233.50;1663.71
5;332;2;2268.99;4537.98;862.22
7;332;1;131.75;131.75;39.53
8;332;1;188.00;188.00;56.40
9;332;1;87.98;87.98;24.63
10;332;1;114.75;114.75;20.66
8;333;1;159.80;159.80;44.74
9;333;1;92.00;92.00;25.76
1;334;1;8852.00;8852.00;2035.96
5;335;1;2521.10;2521.10;529.43
9;335;1;115.00;115.00;23.00
10;335;1;135.00;135.00;39.15
3;336;2;4255.00;8510.00;2467.90
6;336;1;2009.40;2009.40;401.88
7;336;1;139.50;139.50;36.27
8;337;1;143.82;143.82;31.64
1;338;1;7524.20;7524.20;1730.57
9;338;1;103.50;103.50;31.05
2;339;2;8280.90;16561.80;3312.36
5;339;1;2966.00;2966.00;563.54
8;340;1;159.80;159.80;47.94
2;341;1;8280.90;8280.90;1821.80
3;341;1;4255.00;4255.00;936.10
8;341;1;169.20;169.20;40.61
9;341;1;103.50;103.50;21.74
10;341;2;114.75;229.50;64.26
4;342;1;6892.20;6892.20;1585.21
7;342;1;131.75;131.75;35.57
8;342;1;159.80;159.80;33.56
8;343;1;143.82;143.82;40.27
9;343;1;103.50;103.50;23.81
3;344;1;3255.08;3255.08;813.77
4;344;1;6509.30;6509.30;1301.86
10;344;1;108.00;108.00;20.52
7;345;1;105.40;105.40;20.03
1;346;2;7966.80;15933.60;3186.72
2;346;2;8280.90;16561.80;4140.45
3;347;2;4255.00;8510.00;2297.70
3;348;1;3829.50;3829.50;957.38
8;349;2;159.80;319.60;60.72
6;350;1;2511.75;2511.75;502.35
9;351;1;103.50;103.50;23.81
5;352;1;2669.40;2669.40;747.43
2;353;1;7360.80;7360.80;1913.81
6;353;1;2260.58;2260.58;497.33
7;353;1;139.50;139.50;33.48
8;353;1;143.82;143.82;33.08
9;353;1;103.50;103.50;26.91
1;354;1;5417.42;5417.42;975.14
2;354;1;9201.00;9201.00;2300.25
8;354;1;127.84;127.84;26.85
1;355;1;7081.60;7081.60;1628.77
2;355;1;7820.85;7820.85;1955.21
4;355;2;5858.37;11716.74;3046.35
7;355;1;139.50;139.50;25.11
8;355;1;159.80;159.80;33.56
9;355;1;97.75;97.75;27.37
4;356;1;5858.37;5858.37;1171.67
8;356;1;169.20;169.20;37.22
7;357;1;118.58;118.58;23.72
8;357;1;169.20;169.20;45.68
10;357;1;135.00;135.00;36.45
1;358;1;7524.20;7524.20;1504.84
4;358;2;6509.30;13018.60;2733.91
9;358;1;70.38;70.38;16.89
7;359;1;105.40;105.40;26.35
9;359;1;115.00;115.00;34.50
7;360;1;118.58;118.58;22.53
8;360;1;135.36;135.36;36.55
9;361;1;115.00;115.00;20.70
10;361;1;114.75;114.75;28.69
2;362;1;9201.00;9201.00;2300.25
5;362;1;2669.40;2669.40;640.66
8;362;1;188.00;188.00;48.88
9;362;1;103.50;103.50;21.74
6;363;1;2955.00;2955.00;620.55
7;364;1;155.00;155.00;43.40
8;364;1;169.20;169.20;33.84
1;365;1;7524.20;7524.20;1881.05
5;365;1;2966.00;2966.00;533.88
8;365;1;143.82;143.82;27.33
3;366;2;3829.50;7659.00;1608.39
6;366;1;2955.00;2955.00;827.40
4;367;2;6509.30;13018.60;4816.88
9;367;1;92.00;92.00;34.96
8;368;1;169.20;169.20;52.45
1;369;1;7966.80;7966.80;1991.70
8;369;1;159.80;159.80;49.54
9;369;1;115.00;115.00;33.35
2;370;1;7038.77;7038.77;1900.47
10;370;1;91.80;91.80;34.88
4;371;1;6509.30;6509.30;2017.88
3;372;1;3255.08;3255.08;1302.03
6;372;1;2511.75;2511.75;627.94
6;373;1;2260.58;2260.58;587.75
2;374;1;9201.00;9201.00;2944.32
4;374;1;7658.00;7658.00;2527.14
7;374;2;118.58;237.16;71.15
6;375;1;2955.00;2955.00;1152.45
7;375;1;105.40;105.40;37.94
2;376;1;8280.90;8280.90;2981.12
3;376;1;3616.75;3616.75;1085.03
9;376;1;97.75;97.75;39.10
10;376;1;135.00;135.00;43.20
1;377;1;8852.00;8852.00;2390.04
9;377;1;97.75;97.75;31.28
10;377;1;114.75;114.75;41.31
7;378;1;155.00;155.00;60.45
1;379;1;7524.20;7524.20;2407.74
5;379;2;2966.00;5932.00;2313.48
7;379;1;111.60;111.60;40.18
10;379;1;103.28;103.28;33.05
2;380;2;7038.77;14077.54;4364.04
7;380;1;131.75;131.75;47.43
9;380;1;87.98;87.98;28.15
10;380;1;121.50;121.50;35.24
3;381;2;4255.00;8510.00;2297.70
4;382;1;6892.20;6892.20;2412.27
5;382;1;2268.99;2268.99;862.22
9;382;1;103.50;103.50;39.33
10;382;1;114.75;114.75;33.28
5;383;1;2521.10;2521.10;806.75
8;383;1;127.84;127.84;37.07
10;384;2;97.20;194.40;52.49
2;385;2;9201.00;18402.00;5704.62
3;386;1;4255.00;4255.00;1233.95
10;386;1;121.50;121.50;37.67
7;387;1;118.58;118.58;41.50
10;387;1;135.00;135.00;52.65
7;388;1;118.58;118.58;41.50
8;388;1;159.80;159.80;44.74
9;388;1;97.75;97.75;28.35
10;388;1;114.75;114.75;34.43
1;389;1;8852.00;8852.00;2390.04
3;389;1;4255.00;4255.00;1063.75
7;389;1;131.75;131.75;38.21
9;389;1;97.75;97.75;27.37
10;389;1;103.28;103.28;29.95
10;390;1;103.28;103.28;26.85
5;391;2;2966.00;5932.00;2254.16
4;392;1;6892.20;6892.20;1860.89
6;392;1;2009.40;2009.40;803.76
1;393;1;6771.78;6771.78;2234.69
4;393;1;6892.20;6892.20;2067.66
6;393;1;2955.00;2955.00;1182.00
2;394;1;8280.90;8280.90;2153.03
7;394;1;155.00;155.00;60.45
4;395;2;6892.20;13784.40;5100.23
7;395;1;124.00;124.00;34.72
8;395;1;150.40;150.40;60.16
4;396;1;7658.00;7658.00;2220.82
5;396;1;2669.40;2669.40;694.04
9;396;1;87.98;87.98;33.43
1;397;1;7524.20;7524.20;2859.20
2;397;1;9201.00;9201.00;3312.36
7;397;1;155.00;155.00;51.15
9;397;1;115.00;115.00;43.70
6;398;2;2511.75;5023.50;1306.11
8;398;1;159.80;159.80;63.92
1;399;1;6771.78;6771.78;2437.84
2;399;1;7820.85;7820.85;1955.21
2;400;2;9201.00;18402.00;6256.68
