SALDO_ATUAL;RESIDENCIADESDE;IDADE;OUTROSPLANOSPGTO;DATA;ESTADOCIVIL;PROPOSITO;CLASSE
2326;4;27;banco;19/12/2020;masculino solteiro;negócios;bom
1449;2;27;nenhum;20/12/2020;fem div/cas;negócios;bom
1820;2;30;nenhum;20/12/2018;masculino casado/viuvo;carro novo;bom
983;4;19;nenhum;20/12/2018;fem div/cas;mobilia/equipamento;bom
3249;4;39;banco;21/12/2019;;carro novo;bom
1957;4;31;nenhum;21/12/2019;;radio/tv;bom
2406;3;31;nenhum;22/12/2018;masculino solteiro;mobilia/equipamento;bom
11760;3;32;nenhum;23/12/2018;masculino solteiro;educação;bom
2578;4;55;nenhum;23/12/2019;fem div/cas;mobilia/equipamento;bom
2348;2;46;nenhum;24/12/2019;masculino casado/viuvo;mobilia/equipamento;bom
1223;1;46;nenhum;25/12/2019;masculino div/sep;carro novo;ruim
1516;1;43;nenhum;28/12/2019;fem div/cas;radio/tv;bom
1473;4;39;nenhum;01/01/2019;masculino casado/viuvo;radio/tv;bom
1887;4;28;banco;01/01/2020;masculino casado/viuvo;negócios;bom
8648;2;27;banco;02/01/2020;masculino solteiro;negócios;ruim
802;2;27;nenhum;02/01/2019;masculino solteiro;carro novo;bom
2899;4;43;nenhum;03/01/2018;masculino solteiro;carro novo;bom
2039;1;22;nenhum;04/01/2020;masculino casado/viuvo;radio/tv;ruim
2197;4;43;nenhum;06/01/2019;masculino solteiro;carro usado;bom
1053;2;27;nenhum;06/01/2019;masculino casado/viuvo;radio/tv;bom
3235;2;26;nenhum;06/01/2020;masculino div/sep;radio/tv;bom
939;2;28;nenhum;06/01/2020;masculino casado/viuvo;carro novo;ruim
1967;4;20;nenhum;08/01/2019;fem div/cas;radio/tv;bom
7253;2;35;nenhum;09/01/2018;masculino solteiro;carro usado;bom
2292;2;42;stores;10/01/2019;masculino solteiro;negócios;ruim
1597;2;40;nenhum;12/01/2020;masculino solteiro;carro novo;bom
1381;2;35;nenhum;12/01/2018;fem div/cas;carro novo;ruim
5842;2;35;nenhum;13/01/2020;masculino solteiro;carro usado;bom
2579;1;33;nenhum;13/01/2019;masculino solteiro;carro novo;ruim
8471;2;23;nenhum;14/01/2019;fem div/cas;educação;bom
2782;2;31;banco;14/01/2019;fem div/cas;carro novo;bom
1042;2;33;nenhum;15/01/2018;fem div/cas;carro novo;ruim
3186;3;20;nenhum;17/01/2019;fem div/cas;carro novo;bom
2028;2;30;nenhum;17/01/2020;masculino solteiro;carro usado;bom
958;3;47;nenhum;17/01/2018;masculino solteiro;carro novo;bom
1591;3;34;nenhum;18/01/2019;masculino solteiro;mobilia/equipamento;bom
2762;2;25;banco;19/01/2019;fem div/cas;mobilia/equipamento;ruim
2779;3;21;nenhum;21/01/2018;masculino casado/viuvo;carro usado;bom
2743;2;29;nenhum;21/01/2018;masculino solteiro;radio/tv;bom
1149;3;46;nenhum;22/01/2020;masculino solteiro;radio/tv;bom
1313;4;20;nenhum;22/01/2018;masculino solteiro;mobilia/equipamento;bom
1190;4;55;nenhum;23/01/2019;fem div/cas;obras;ruim
3448;4;74;nenhum;23/01/2018;masculino solteiro;negócios;bom
11328;3;29;banco;24/01/2020;masculino solteiro;outros;ruim
1872;4;36;nenhum;24/01/2019;masculino solteiro;mobilia/equipamento;bom
2058;2;33;nenhum;24/01/2020;masculino div/sep;obras;bom
2136;2;25;nenhum;26/01/2020;masculino solteiro;mobilia/equipamento;bom
1484;1;25;nenhum;27/01/2019;masculino casado/viuvo;radio/tv;ruim
660;4;23;nenhum;27/01/2018;masculino casado/viuvo;obras;bom
1287;4;37;nenhum;27/01/2020;fem div/cas;carro novo;bom
3394;4;65;nenhum;27/01/2020;masculino solteiro;obras;bom
609;1;26;nenhum;29/01/2019;fem div/cas;negócios;ruim
1884;4;39;nenhum;30/01/2018;masculino solteiro;carro novo;bom
1620;3;30;nenhum;30/01/2018;fem div/cas;mobilia/equipamento;bom
2629;3;29;banco;01/02/2019;masculino solteiro;outros;bom
719;4;41;banco;02/02/2019;masculino solteiro;educação;ruim
5096;3;30;nenhum;02/02/2019;fem div/cas;mobilia/equipamento;ruim
1244;4;41;nenhum;03/02/2019;fem div/cas;educação;bom
1842;4;34;nenhum;05/02/2020;fem div/cas;carro novo;ruim
2576;2;35;nenhum;08/02/2018;masculino solteiro;radio/tv;bom
1424;4;55;nenhum;09/02/2020;fem div/cas;mobilia/equipamento;bom
1512;3;61;stores;09/02/2020;masculino casado/viuvo;obras;ruim
11054;2;30;nenhum;09/02/2019;masculino solteiro;carro usado;bom
518;1;29;nenhum;10/02/2019;fem div/cas;radio/tv;bom
2759;4;34;nenhum;10/02/2018;masculino solteiro;mobilia/equipamento;bom
2670;4;35;nenhum;11/02/2018;masculino solteiro;carro usado;bom
4817;3;31;nenhum;11/02/2018;masculino solteiro;carro novo;ruim
2679;1;29;nenhum;12/02/2020;fem div/cas;carro usado;bom
3905;2;36;nenhum;13/02/2020;masculino solteiro;carro novo;bom
3386;4;35;nenhum;13/02/2020;masculino solteiro;carro usado;ruim
343;1;27;nenhum;14/02/2020;fem div/cas;Eletrodomésticos;bom
4594;2;32;nenhum;14/02/2018;masculino solteiro;radio/tv;bom
3620;2;37;nenhum;15/02/2019;masculino solteiro;mobilia/equipamento;bom
1721;3;36;nenhum;19/02/2018;masculino solteiro;carro novo;bom
3017;1;34;nenhum;20/02/2018;fem div/cas;mobilia/equipamento;bom
754;4;38;nenhum;21/02/2020;masculino solteiro;qualificação;bom
1950;1;34;stores;21/02/2019;masculino solteiro;negócios;bom
2924;4;63;banco;21/02/2019;masculino solteiro;carro usado;bom
1659;2;29;nenhum;22/02/2020;fem div/cas;radio/tv;ruim
7238;3;32;banco;24/02/2019;masculino solteiro;radio/tv;bom
2764;2;26;nenhum;24/02/2019;fem div/cas;negócios;bom
4679;3;35;nenhum;24/02/2020;masculino solteiro;carro usado;bom
3092;2;22;nenhum;25/02/2020;masculino casado/viuvo;radio/tv;ruim
448;4;23;nenhum;27/02/2019;fem div/cas;educação;ruim
654;3;28;nenhum;27/02/2019;masculino solteiro;carro novo;ruim
1238;4;36;nenhum;27/02/2019;masculino solteiro;qualificação;bom
1245;2;33;nenhum;28/02/2019;masculino casado/viuvo;radio/tv;ruim
3114;4;26;nenhum;02/03/2019;fem div/cas;mobilia/equipamento;ruim
2569;4;24;nenhum;04/03/2019;masculino solteiro;carro usado;bom
5152;2;25;banco;04/03/2019;masculino solteiro;radio/tv;bom
1037;4;39;nenhum;04/03/2019;masculino solteiro;negócios;bom
1478;4;44;nenhum;04/03/2019;masculino solteiro;mobilia/equipamento;bom
3573;1;23;nenhum;07/03/2020;fem div/cas;radio/tv;bom
1201;1;26;nenhum;08/03/2018;masculino solteiro;carro novo;bom
3622;4;57;nenhum;09/03/2019;fem div/cas;mobilia/equipamento;bom
960;2;30;nenhum;10/03/2018;fem div/cas;mobilia/equipamento;bom
1163;4;44;nenhum;11/03/2020;masculino solteiro;carro novo;bom
1209;4;47;nenhum;12/03/2019;masculino solteiro;carro novo;ruim
3077;4;52;nenhum;13/03/2019;masculino solteiro;radio/tv;bom
3757;4;62;nenhum;14/03/2018;fem div/cas;carro novo;bom
1418;2;35;nenhum;14/03/2018;masculino solteiro;carro novo;bom
3518;3;26;nenhum;15/03/2020;masculino solteiro;carro novo;bom
1934;2;26;nenhum;15/03/2019;masculino solteiro;radio/tv;bom
8318;4;42;nenhum;17/03/2020;fem div/cas;negócios;ruim
1237;1;27;nenhum;17/03/2018;fem div/cas;radio/tv;bom
368;4;38;nenhum;18/03/2019;masculino solteiro;radio/tv;bom
2122;2;39;nenhum;18/03/2018;masculino solteiro;carro novo;bom
2996;4;20;nenhum;19/03/2019;masculino casado/viuvo;mobilia/equipamento;ruim
9034;1;29;nenhum;23/03/2019;masculino solteiro;mobilia/equipamento;ruim
1585;3;40;nenhum;23/03/2020;masculino solteiro;mobilia/equipamento;bom
1301;2;32;nenhum;23/03/2018;masculino casado/viuvo;radio/tv;bom
1323;4;28;nenhum;23/03/2019;masculino div/sep;carro novo;bom
3123;1;27;nenhum;28/03/2020;fem div/cas;carro novo;ruim
5493;4;42;nenhum;29/03/2018;masculino solteiro;carro usado;bom
1126;4;49;nenhum;30/03/2019;masculino div/sep;radio/tv;bom
1216;4;38;banco;30/03/2018;masculino solteiro;radio/tv;ruim
1207;4;24;nenhum;01/04/2018;fem div/cas;carro novo;ruim
1309;4;27;nenhum;01/04/2019;masculino solteiro;carro novo;ruim
2360;2;36;nenhum;02/04/2020;masculino solteiro;carro usado;bom
6850;2;34;nenhum;04/04/2020;masculino solteiro;carro novo;ruim
1413;2;28;nenhum;05/04/2020;masculino casado/viuvo;radio/tv;bom
8588;2;45;nenhum;10/04/2019;masculino solteiro;carro usado;bom
759;2;26;nenhum;11/04/2020;masculino solteiro;carro novo;ruim
4686;2;32;nenhum;12/04/2018;masculino solteiro;carro usado;bom
2687;4;26;nenhum;13/04/2020;masculino solteiro;negócios;bom
585;4;20;nenhum;13/04/2019;masculino casado/viuvo;radio/tv;bom
2255;1;54;nenhum;13/04/2020;masculino solteiro;carro novo;bom
609;3;37;nenhum;14/04/2019;fem div/cas;carro novo;bom
1361;4;40;nenhum;14/04/2018;masculino solteiro;carro novo;bom
7127;4;23;nenhum;16/04/2019;fem div/cas;mobilia/equipamento;ruim
1203;2;43;nenhum;17/04/2020;masculino solteiro;carro novo;bom
700;4;36;nenhum;17/04/2019;masculino solteiro;radio/tv;bom
5507;4;44;nenhum;17/04/2019;masculino solteiro;obras;bom
3190;2;24;nenhum;18/04/2018;fem div/cas;radio/tv;ruim
7119;4;53;nenhum;18/04/2019;masculino solteiro;mobilia/equipamento;ruim
3488;4;23;nenhum;19/04/2019;fem div/cas;carro usado;bom
1113;4;26;nenhum;20/04/2019;fem div/cas;radio/tv;bom
7966;3;30;nenhum;21/04/2018;masculino solteiro;carro usado;bom
1532;3;31;nenhum;21/04/2020;fem div/cas;educação;bom
1503;1;42;nenhum;22/04/2020;masculino solteiro;radio/tv;bom
2302;4;31;nenhum;23/04/2018;masculino div/sep;radio/tv;ruim
662;4;41;nenhum;23/04/2018;masculino solteiro;carro novo;bom
2273;1;32;nenhum;25/04/2019;masculino solteiro;educação;bom
2631;4;28;nenhum;26/04/2020;fem div/cas;carro novo;ruim
1503;4;41;nenhum;26/04/2019;masculino casado/viuvo;carro usado;bom
1311;3;26;nenhum;29/04/2019;masculino casado/viuvo;radio/tv;bom
3105;2;25;nenhum;29/04/2019;masculino solteiro;radio/tv;bom
2319;1;33;nenhum;29/04/2020;masculino div/sep;educação;ruim
1374;3;75;nenhum;01/05/2019;fem div/cas;carro novo;bom
3612;4;37;nenhum;01/05/2020;fem div/cas;mobilia/equipamento;bom
7763;4;42;banco;03/05/2020;masculino solteiro;carro novo;ruim
3049;1;45;stores;04/05/2020;fem div/cas;mobilia/equipamento;bom
1534;1;23;nenhum;05/05/2018;masculino casado/viuvo;radio/tv;ruim
2032;4;60;nenhum;05/05/2020;masculino solteiro;carro novo;bom
6350;4;31;nenhum;05/05/2018;masculino solteiro;mobilia/equipamento;ruim
2864;1;34;nenhum;06/05/2018;masculino solteiro;mobilia/equipamento;ruim
1255;4;61;nenhum;06/05/2019;masculino solteiro;carro novo;bom
1333;2;43;nenhum;06/05/2018;masculino solteiro;carro novo;ruim
2022;4;37;nenhum;08/05/2018;fem div/cas;carro novo;bom
1552;1;32;banco;09/05/2018;masculino solteiro;radio/tv;bom
626;4;24;banco;09/05/2018;fem div/cas;radio/tv;ruim
8858;1;35;nenhum;10/05/2020;masculino solteiro;carro usado;bom
996;4;23;nenhum;13/05/2020;fem div/cas;obras;bom
1750;4;45;banco;14/05/2018;masculino solteiro;radio/tv;bom
6999;1;34;nenhum;14/05/2018;masculino casado/viuvo;radio/tv;ruim
1995;1;27;nenhum;14/05/2018;masculino solteiro;carro novo;bom
1199;4;67;nenhum;15/05/2018;fem div/cas;educação;bom
1331;1;22;stores;17/05/2019;masculino solteiro;radio/tv;ruim
2278;3;28;nenhum;17/05/2020;fem div/cas;carro novo;ruim
5003;4;29;banco;18/05/2018;fem div/cas;carro novo;ruim
3552;4;27;banco;19/05/2018;masculino solteiro;mobilia/equipamento;ruim
1928;2;31;nenhum;19/05/2018;masculino solteiro;mobilia/equipamento;ruim
2964;4;49;banco;22/05/2020;masculino solteiro;carro usado;bom
1546;4;24;banco;23/05/2018;masculino solteiro;radio/tv;ruim
683;1;29;banco;24/05/2020;fem div/cas;radio/tv;bom
12389;4;37;nenhum;26/05/2020;masculino solteiro;carro novo;ruim
4712;2;37;banco;27/05/2020;masculino solteiro;negócios;bom
1553;2;23;nenhum;28/05/2019;fem div/cas;radio/tv;bom
1372;3;36;nenhum;28/05/2019;masculino div/sep;carro novo;ruim
2578;2;34;nenhum;30/05/2020;masculino solteiro;radio/tv;bom
3979;1;41;nenhum;30/05/2019;masculino solteiro;radio/tv;bom
6758;2;31;nenhum;30/05/2018;fem div/cas;radio/tv;ruim
3234;4;23;nenhum;30/05/2019;fem div/cas;mobilia/equipamento;ruim
5954;2;38;nenhum;02/06/2018;masculino solteiro;radio/tv;bom
5433;4;26;nenhum;04/06/2020;fem div/cas;carro usado;bom
806;4;22;nenhum;06/06/2020;fem div/cas;negócios;bom
1082;4;27;nenhum;08/06/2018;masculino solteiro;radio/tv;bom
2788;3;24;banco;09/06/2019;fem div/cas;mobilia/equipamento;bom
2930;1;27;nenhum;12/06/2019;fem div/cas;radio/tv;bom
1927;2;33;nenhum;15/06/2020;fem div/cas;educação;bom
2820;4;27;nenhum;15/06/2019;masculino div/sep;carro novo;ruim
937;3;27;nenhum;15/06/2018;masculino casado/viuvo;qualificação;bom
1056;3;30;banco;15/06/2020;masculino solteiro;carro novo;ruim
3124;3;49;banco;16/06/2018;masculino solteiro;carro novo;bom
1388;2;26;nenhum;16/06/2019;fem div/cas;mobilia/equipamento;bom
2384;1;33;nenhum;17/06/2020;masculino solteiro;obras;ruim
2133;4;52;nenhum;17/06/2018;fem div/cas;carro novo;bom
2039;4;20;banco;17/06/2020;fem div/cas;mobilia/equipamento;ruim
2799;2;36;nenhum;17/06/2018;masculino solteiro;carro novo;bom
1289;1;21;nenhum;19/06/2020;masculino solteiro;mobilia/equipamento;bom
1217;3;47;nenhum;20/06/2018;masculino casado/viuvo;Eletrodomésticos;ruim
2246;3;60;nenhum;21/06/2019;masculino solteiro;mobilia/equipamento;ruim
385;3;58;nenhum;24/06/2019;fem div/cas;radio/tv;bom
1965;4;42;nenhum;25/06/2018;fem div/cas;carro novo;bom
1572;4;36;banco;26/06/2018;fem div/cas;negócios;bom
2718;4;20;nenhum;27/06/2018;fem div/cas;carro novo;ruim
1358;3;40;stores;28/06/2019;masculino solteiro;outros;ruim
931;1;32;stores;29/06/2018;fem div/cas;carro novo;ruim
1442;4;23;nenhum;30/06/2018;fem div/cas;carro novo;ruim
4241;4;36;nenhum;03/07/2018;masculino solteiro;negócios;ruim
2775;2;31;banco;04/07/2019;masculino solteiro;carro novo;ruim
3863;2;32;nenhum;05/07/2018;masculino solteiro;negócios;bom
2329;1;45;nenhum;05/07/2018;fem div/cas;radio/tv;bom
918;1;30;nenhum;05/07/2020;fem div/cas;mobilia/equipamento;ruim
1837;4;34;banco;06/07/2018;fem div/cas;educação;ruim
3349;2;28;nenhum;06/07/2019;fem div/cas;mobilia/equipamento;ruim
1275;2;23;nenhum;06/07/2019;fem div/cas;mobilia/equipamento;bom
2828;4;22;stores;06/07/2018;masculino solteiro;mobilia/equipamento;bom
4526;2;74;nenhum;09/07/2018;masculino solteiro;negócios;bom
2671;4;50;nenhum;10/07/2018;fem div/cas;radio/tv;ruim
2051;1;33;nenhum;11/07/2018;masculino solteiro;radio/tv;bom
1300;4;45;banco;11/07/2020;masculino solteiro;carro usado;bom
741;3;22;nenhum;12/07/2018;fem div/cas;Eletrodomésticos;ruim
1240;4;48;nenhum;13/07/2019;fem div/cas;carro novo;ruim
3357;2;29;banco;15/07/2019;fem div/cas;radio/tv;bom
3632;4;22;banco;16/07/2019;fem div/cas;carro usado;bom
1808;1;22;nenhum;16/07/2019;fem div/cas;mobilia/equipamento;ruim
12204;2;48;banco;17/07/2018;masculino solteiro;negócios;bom
9157;2;27;nenhum;18/07/2020;masculino solteiro;radio/tv;bom
3676;3;37;nenhum;18/07/2018;masculino solteiro;carro novo;bom
3441;4;21;nenhum;19/07/2018;fem div/cas;mobilia/equipamento;ruim
640;2;49;nenhum;20/07/2020;masculino div/sep;carro novo;bom
3652;3;27;nenhum;21/07/2018;masculino solteiro;negócios;bom
1530;2;32;banco;23/07/2018;masculino solteiro;carro novo;ruim
3914;2;38;banco;25/07/2018;masculino div/sep;negócios;ruim
1858;1;22;nenhum;25/07/2018;fem div/cas;mobilia/equipamento;bom
2600;4;65;nenhum;27/07/2018;masculino solteiro;radio/tv;ruim
1979;2;35;nenhum;28/07/2020;masculino solteiro;radio/tv;bom
2116;2;41;nenhum;28/07/2018;masculino solteiro;mobilia/equipamento;bom
1437;3;29;nenhum;30/07/2018;masculino solteiro;carro novo;ruim
4042;4;36;nenhum;02/08/2020;masculino solteiro;mobilia/equipamento;bom
3832;4;64;nenhum;05/08/2018;masculino solteiro;educação;bom
3660;4;28;nenhum;06/08/2018;fem div/cas;radio/tv;bom
1553;3;44;banco;06/08/2019;masculino solteiro;mobilia/equipamento;ruim
1444;1;23;nenhum;09/08/2020;masculino solteiro;radio/tv;bom
1980;2;19;nenhum;09/08/2019;fem div/cas;mobilia/equipamento;ruim
1355;4;25;nenhum;09/08/2020;fem div/cas;carro novo;ruim
1393;4;47;banco;10/08/2019;masculino solteiro;educação;bom
1376;1;28;nenhum;10/08/2020;fem div/cas;radio/tv;bom
15653;4;21;nenhum;11/08/2018;masculino solteiro;radio/tv;bom
1493;3;34;nenhum;11/08/2018;fem div/cas;radio/tv;bom
4370;2;26;banco;12/08/2020;masculino solteiro;radio/tv;ruim
750;1;27;nenhum;12/08/2019;fem div/cas;educação;ruim
1308;4;38;nenhum;12/08/2019;masculino solteiro;obras;bom
4623;2;40;nenhum;15/08/2019;masculino solteiro;educação;ruim
1851;2;33;nenhum;15/08/2019;masculino casado/viuvo;radio/tv;bom
1880;1;32;nenhum;16/08/2019;masculino casado/viuvo;radio/tv;bom
7980;4;27;nenhum;16/08/2019;masculino solteiro;negócios;ruim
4583;2;32;nenhum;16/08/2020;masculino div/sep;mobilia/equipamento;bom
1386;2;26;nenhum;18/08/2018;fem div/cas;carro novo;ruim
947;3;38;banco;18/08/2018;masculino solteiro;carro novo;ruim
684;4;40;nenhum;20/08/2018;masculino solteiro;educação;ruim
7476;1;50;nenhum;20/08/2019;masculino solteiro;educação;bom
1922;2;37;nenhum;21/08/2019;masculino solteiro;mobilia/equipamento;ruim
2303;1;45;nenhum;22/08/2020;masculino solteiro;carro novo;ruim
8086;4;42;nenhum;22/08/2020;masculino solteiro;carro novo;ruim
2346;3;35;nenhum;22/08/2019;masculino solteiro;carro usado;bom
3973;4;22;nenhum;23/08/2020;masculino solteiro;carro novo;bom
888;4;41;banco;25/08/2020;masculino solteiro;carro novo;ruim
10222;3;37;stores;26/08/2018;masculino solteiro;radio/tv;bom
4221;1;28;nenhum;26/08/2019;fem div/cas;negócios;bom
6361;1;41;nenhum;27/08/2020;masculino solteiro;mobilia/equipamento;bom
1297;4;23;nenhum;31/08/2020;masculino casado/viuvo;radio/tv;bom
900;2;23;nenhum;02/09/2020;masculino casado/viuvo;carro novo;ruim
2241;2;50;nenhum;04/09/2019;masculino solteiro;mobilia/equipamento;bom
1050;1;35;stores;05/09/2019;masculino solteiro;mobilia/equipamento;bom
1047;4;50;nenhum;05/09/2019;fem div/cas;educação;bom
6314;2;27;banco;06/09/2019;masculino solteiro;outros;bom
3496;2;34;stores;07/09/2020;masculino solteiro;mobilia/equipamento;bom
3609;1;27;stores;08/09/2018;fem div/cas;negócios;bom
4843;4;43;nenhum;09/09/2019;masculino solteiro;carro novo;ruim
3017;4;47;nenhum;10/09/2019;masculino solteiro;radio/tv;bom
4139;3;27;nenhum;11/09/2018;masculino solteiro;negócios;bom
5742;2;31;nenhum;12/09/2020;masculino solteiro;negócios;bom
10366;4;42;nenhum;13/09/2018;masculino solteiro;carro novo;bom
2080;2;24;nenhum;15/09/2019;masculino casado/viuvo;carro novo;bom
2580;2;41;banco;16/09/2020;masculino solteiro;negócios;ruim
4530;4;26;nenhum;17/09/2018;fem div/cas;radio/tv;bom
5150;4;33;nenhum;18/09/2018;masculino solteiro;mobilia/equipamento;bom
5595;2;24;nenhum;18/09/2020;masculino casado/viuvo;radio/tv;ruim
2384;4;64;banco;19/09/2019;masculino solteiro;radio/tv;bom
1453;1;26;nenhum;22/09/2020;fem div/cas;radio/tv;bom
1538;2;56;nenhum;24/09/2020;fem div/cas;educação;bom
2279;4;37;nenhum;25/09/2020;masculino solteiro;radio/tv;bom
1478;3;33;banco;25/09/2020;masculino casado/viuvo;radio/tv;bom
5103;3;47;nenhum;25/09/2018;masculino casado/viuvo;radio/tv;bom
9857;3;31;nenhum;26/09/2019;masculino solteiro;negócios;bom
6527;4;34;nenhum;26/09/2018;masculino solteiro;carro novo;bom
1347;2;27;nenhum;26/09/2019;masculino solteiro;radio/tv;bom
2862;3;30;nenhum;27/09/2020;masculino solteiro;carro novo;bom
2753;4;35;nenhum;28/09/2020;masculino solteiro;radio/tv;bom
3651;3;31;nenhum;28/09/2018;masculino solteiro;carro novo;bom
975;3;25;nenhum;29/09/2018;masculino div/sep;mobilia/equipamento;bom
2631;2;25;nenhum;29/09/2020;fem div/cas;obras;bom
2896;1;29;nenhum;01/10/2020;masculino solteiro;radio/tv;bom
4716;3;44;nenhum;02/10/2019;masculino solteiro;carro novo;bom
2284;2;28;nenhum;02/10/2020;masculino solteiro;radio/tv;bom
1236;4;50;nenhum;06/10/2019;masculino solteiro;carro usado;bom
1103;3;29;nenhum;07/10/2020;masculino solteiro;radio/tv;bom
926;2;38;nenhum;09/10/2019;fem div/cas;carro novo;bom
1800;2;24;nenhum;10/10/2020;masculino solteiro;radio/tv;bom
1905;4;40;nenhum;12/10/2020;masculino solteiro;educação;bom
1123;4;29;nenhum;13/10/2018;fem div/cas;mobilia/equipamento;ruim
6331;4;46;nenhum;13/10/2018;masculino solteiro;carro usado;ruim
1377;2;47;nenhum;15/10/2020;fem div/cas;radio/tv;bom
2503;2;41;stores;15/10/2019;masculino solteiro;negócios;bom
2528;1;32;nenhum;16/10/2019;fem div/cas;negócios;bom
5324;4;35;nenhum;16/10/2018;fem div/cas;carro novo;bom
6560;2;24;nenhum;16/10/2018;masculino solteiro;carro novo;ruim
2969;3;25;nenhum;17/10/2019;fem div/cas;mobilia/equipamento;ruim
1206;4;25;nenhum;18/10/2019;fem div/cas;radio/tv;bom
2118;2;37;nenhum;18/10/2018;masculino solteiro;radio/tv;bom
629;3;32;banco;20/10/2019;masculino solteiro;radio/tv;bom
1198;4;35;nenhum;22/10/2019;fem div/cas;educação;ruim
2476;4;46;nenhum;22/10/2019;masculino solteiro;carro usado;bom
1138;4;25;nenhum;23/10/2018;masculino solteiro;radio/tv;bom
14027;2;27;nenhum;25/10/2019;masculino solteiro;carro novo;ruim
7596;4;63;nenhum;25/10/2019;masculino solteiro;carro usado;bom
3077;2;40;nenhum;26/10/2020;masculino solteiro;radio/tv;bom
1505;2;32;nenhum;26/10/2018;masculino solteiro;radio/tv;bom
3148;2;31;nenhum;26/10/2020;masculino solteiro;radio/tv;bom
6148;4;31;banco;27/10/2020;masculino casado/viuvo;carro usado;bom
1337;2;34;nenhum;27/10/2019;masculino solteiro;radio/tv;ruim
433;2;24;banco;28/10/2018;fem div/cas;educação;ruim
1228;2;24;nenhum;28/10/2019;fem div/cas;carro novo;ruim
790;3;66;nenhum;31/10/2020;fem div/cas;radio/tv;bom
2570;3;21;nenhum;31/10/2018;fem div/cas;carro novo;ruim
250;2;41;banco;01/11/2019;fem div/cas;carro novo;bom
1316;2;47;nenhum;01/11/2018;masculino casado/viuvo;radio/tv;bom
1882;4;25;banco;01/11/2020;fem div/cas;radio/tv;ruim
6416;3;59;nenhum;02/11/2019;fem div/cas;negócios;ruim
1275;4;36;nenhum;02/11/2019;masculino div/sep;negócios;bom
6403;2;33;nenhum;02/11/2018;masculino solteiro;radio/tv;bom
1987;4;21;nenhum;03/11/2018;masculino solteiro;radio/tv;ruim
760;2;44;nenhum;04/11/2018;fem div/cas;radio/tv;bom
2603;4;28;nenhum;05/11/2019;fem div/cas;carro usado;bom
3380;1;37;nenhum;07/11/2018;fem div/cas;carro novo;bom
3990;2;29;banco;07/11/2020;fem div/cas;Eletrodomésticos;bom
11560;4;23;nenhum;09/11/2018;fem div/cas;carro usado;ruim
4380;4;35;nenhum;09/11/2018;masculino solteiro;carro novo;bom
6761;3;45;nenhum;10/11/2018;masculino solteiro;carro novo;bom
4280;4;26;nenhum;11/11/2019;fem div/cas;negócios;ruim
2325;3;32;banco;12/11/2019;masculino solteiro;carro novo;bom
1048;4;23;stores;12/11/2019;masculino solteiro;radio/tv;bom
3160;3;41;nenhum;13/11/2019;masculino solteiro;radio/tv;bom
2483;4;22;stores;15/11/2019;masculino solteiro;mobilia/equipamento;bom
14179;4;30;nenhum;16/11/2018;masculino solteiro;mobilia/equipamento;bom
1797;1;28;banco;16/11/2018;masculino solteiro;negócios;bom
2511;4;23;nenhum;17/11/2018;fem div/cas;carro novo;bom
1274;1;37;nenhum;17/11/2020;fem div/cas;carro novo;ruim
5248;3;26;nenhum;19/11/2019;masculino solteiro;carro usado;bom
3029;2;33;nenhum;19/11/2018;masculino solteiro;carro usado;bom
428;1;49;banco;21/11/2020;fem div/cas;mobilia/equipamento;bom
976;2;23;nenhum;22/11/2020;fem div/cas;carro novo;ruim
841;4;23;nenhum;22/11/2018;fem div/cas;negócios;bom
5771;2;25;nenhum;22/11/2018;fem div/cas;radio/tv;bom
1555;4;55;nenhum;23/11/2019;masculino solteiro;obras;ruim
1285;4;32;nenhum;23/11/2018;fem div/cas;carro novo;ruim
1299;1;74;nenhum;24/11/2020;masculino solteiro;carro novo;bom
1271;4;39;nenhum;24/11/2018;masculino solteiro;radio/tv;ruim
1393;2;31;nenhum;25/11/2020;masculino solteiro;carro novo;bom
691;3;35;nenhum;25/11/2019;masculino solteiro;carro novo;ruim
5045;4;59;nenhum;25/11/2018;fem div/cas;carro novo;bom
2124;4;24;nenhum;25/11/2020;fem div/cas;mobilia/equipamento;ruim
2214;3;24;nenhum;28/11/2019;masculino solteiro;radio/tv;bom
12680;4;30;nenhum;29/11/2018;masculino solteiro;carro novo;ruim
2463;3;27;nenhum;30/11/2018;masculino casado/viuvo;carro novo;bom
1155;3;40;banco;30/11/2019;masculino casado/viuvo;radio/tv;bom
3108;4;31;nenhum;01/12/2020;masculino div/sep;mobilia/equipamento;ruim
2901;4;31;nenhum;02/12/2020;fem div/cas;carro usado;bom
3617;4;28;nenhum;02/12/2019;masculino solteiro;mobilia/equipamento;bom
1655;4;63;nenhum;03/12/2020;masculino solteiro;radio/tv;bom
2812;4;26;nenhum;04/12/2019;fem div/cas;carro usado;bom
8065;2;25;nenhum;04/12/2020;fem div/cas;educação;ruim
3275;4;36;nenhum;05/12/2018;masculino solteiro;carro usado;bom
2223;4;52;banco;05/12/2019;masculino solteiro;radio/tv;bom
1480;4;66;banco;06/12/2019;masculino solteiro;carro novo;bom
1371;4;25;nenhum;09/12/2020;fem div/cas;carro novo;ruim
3535;4;37;nenhum;10/12/2019;masculino solteiro;carro novo;bom
3509;1;25;nenhum;10/12/2018;fem div/cas;radio/tv;bom
5711;2;38;nenhum;11/12/2020;masculino solteiro;carro usado;bom
